station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2019-05-28 00:00:00,5,145.9,14176.0,-62.9,-74.6,280.0,44,87.0,28.0
KILN,2019-05-28 00:00:00,5,144.6,14231.0,-62.7,-74.2,281.0,41,87.0,28.0
KILN,2019-05-28 00:00:00,5,143.0,14302.0,-61.0,-73.8,280.0,40,87.0,28.0
KILN,2019-05-28 00:00:00,6,140.2,14424.0,M,M,279.0,45,87.0,29.0
KILN,2019-05-28 00:00:00,5,136.9,14571.0,-61.8,-79.2,281.0,51,88.0,29.0
KILN,2019-05-28 00:00:00,6,134.1,14697.0,M,M,280.0,54,88.0,29.0
KILN,2019-05-28 00:00:00,5,133.2,14739.0,-60.6,-81.9,281.0,54,88.0,30.0
KILN,2019-05-28 00:00:00,6,128.2,14977.0,M,M,288.0,51,88.0,30.0
KILN,2019-05-28 00:00:00,5,126.3,15070.0,-61.8,-88.4,287.0,48,88.0,30.0
KILN,2019-05-28 00:00:00,6,122.5,15259.0,M,M,276.0,46,88.0,31.0
KILN,2019-05-28 00:00:00,5,122.3,15268.0,-61.2,-90.3,275.0,47,88.0,31.0
KILN,2019-05-28 00:00:00,6,117.3,15526.0,M,M,263.0,50,88.0,32.0
KILN,2019-05-28 00:00:00,5,115.0,15649.0,-63.1,-93.1,266.0,50,88.0,32.0
KILN,2019-05-28 00:00:00,5,112.9,15762.0,-62.1,-92.4,270.0,47,88.0,32.0
KILN,2019-05-28 00:00:00,6,112.4,15789.0,M,M,269.0,46,88.0,32.0
KILN,2019-05-28 00:00:00,5,110.8,15881.0,-62.7,-92.9,265.0,46,88.0,33.0
KILN,2019-05-28 00:00:00,5,109.5,15954.0,-61.1,-91.7,266.0,44,88.0,33.0
KILN,2019-05-28 00:00:00,6,107.7,16053.0,M,M,273.0,39,88.0,33.0
KILN,2019-05-28 00:00:00,5,107.0,16093.0,-60.1,-91.0,276.0,37,88.0,33.0
KILN,2019-05-28 00:00:00,6,102.7,16352.0,M,M,280.0,29,88.0,34.0
KILN,2019-05-28 00:00:00,4,100.0,16518.0,-62.8,-92.9,275.0,31,89.0,34.0
KILN,2019-05-28 00:00:00,6,98.0,16640.0,M,M,273.0,34,89.0,34.0
